Key	Value
 BitsPerPixel	16
 DimensionOrder	XYCZT
 IsInterleaved	false
 IsRGB	false
 LittleEndian	true
 PixelType	uint16
Field 43 Image_Depth	16.0
Field 43 Image_Height	2048.0
Field 43 Image_Width	2048.0
Field 43 Time_From_Last	0.03332599999999997
Field 43 Time_From_Start	1.39968
Field 43 i_Image1 Binning	1.0
Field 43 i_Image1 Capture_Depth	16.0
Field 43 i_Image1 Image_Depth	16.0
Field 43 i_Image1 Image_Exposure1	0.003021
Field 43 i_Image1 Image_Height	2048.0
Field 43 i_Image1 Image_Width	2048.0
Field 43 i_Image1 Image_eCoeff1	0.48
Field 43 i_Image1 Image_eOffset1	100.0
Field 44 Binning	1.0
Field 44 Capture_Depth	16.0
Field 44 Image_Depth	16.0
Field 44 Image_Height	2048.0
Field 44 Image_Width	2048.0
Field 44 Time_From_Last	0.03332599999999997
Field 44 Time_From_Start	1.433006
Field 44 i_Image1 Binning	1.0
Field 44 i_Image1 Capture_Depth	16.0
Field 44 i_Image1 Image_Depth	16.0
Field 44 i_Image1 Image_Exposure1	0.003021
Field 44 i_Image1 Image_Height	2048.0
Field 44 i_Image1 Image_Width	2048.0
Field 44 i_Image1 Image_eCoeff1	0.48
Field 44 i_Image1 Image_eOffset1	100.0
Field 45 Binning	1.0
Field 45 Capture_Depth	16.0
Field 45 Image_Depth	16.0
Field 45 Image_Height	2048.0
Field 45 Image_Width	2048.0
Field 45 Time_From_Last	0.03332500000000005
Field 45 Time_From_Start	1.466331
Field 45 i_Image1 Binning	1.0
Field 45 i_Image1 Capture_Depth	16.0
Field 45 i_Image1 Image_Depth	16.0
Field 45 i_Image1 Image_Exposure1	0.003021
Field 45 i_Image1 Image_Height	2048.0
Field 45 i_Image1 Image_Width	2048.0
Field 45 i_Image1 Image_eCoeff1	0.48
Field 45 i_Image1 Image_eOffset1	100.0
Field 46 Binning	1.0
Field 46 Capture_Depth	16.0
Field 46 Image_Depth	16.0
Field 46 Image_Height	2048.0
Field 46 Image_Width	2048.0
Field 46 Time_From_Last	0.03332599999999997
Field 46 Time_From_Start	1.499657
Field 46 i_Image1 Binning	1.0
Field 46 i_Image1 Capture_Depth	16.0
Field 46 i_Image1 Image_Depth	16.0
Field 46 i_Image1 Image_Exposure1	0.003021
Field 46 i_Image1 Image_Height	2048.0
Field 46 i_Image1 Image_Width	2048.0
Field 46 i_Image1 Image_eCoeff1	0.48
Field 46 i_Image1 Image_eOffset1	100.0
Field 47 Binning	1.0
Field 47 Capture_Depth	16.0
Field 47 Image_Depth	16.0
Field 47 Image_Height	2048.0
Field 47 Image_Width	2048.0
Field 47 Time_From_Last	0.03332599999999997
Field 47 Time_From_Start	1.532983
Field 47 i_Image1 Binning	1.0
Field 47 i_Image1 Capture_Depth	16.0
Field 47 i_Image1 Image_Depth	16.0
Field 47 i_Image1 Image_Exposure1	0.003021
Field 47 i_Image1 Image_Height	2048.0
Field 47 i_Image1 Image_Width	2048.0
Field 47 i_Image1 Image_eCoeff1	0.48
Field 47 i_Image1 Image_eOffset1	100.0
Field 48 Binning	1.0
Field 48 Capture_Depth	16.0
Field 48 Image_Depth	16.0
Field 48 Image_Height	2048.0
Field 48 Image_Width	2048.0
Field 48 Time_From_Last	0.03332500000000005
Field 48 Time_From_Start	1.566308
Field 48 i_Image1 Binning	1.0
Field 48 i_Image1 Capture_Depth	16.0
Field 48 i_Image1 Image_Depth	16.0
Field 48 i_Image1 Image_Exposure1	0.003021
Field 48 i_Image1 Image_Height	2048.0
Field 48 i_Image1 Image_Width	2048.0
Field 48 i_Image1 Image_eCoeff1	0.48
Field 48 i_Image1 Image_eOffset1	100.0
Field 49 Binning	1.0
Field 49 Capture_Depth	16.0
Field 49 Image_Depth	16.0
Field 49 Image_Height	2048.0
Field 49 Image_Width	2048.0
Field 49 Time_From_Last	0.03332599999999997
Field 49 Time_From_Start	1.599634
Field 49 i_Image1 Binning	1.0
